,Unnamed: 0.1,Unnamed: 0,Model,Train Loss,Val Loss,Train Acc,Val Acc
0,0,0.0,AugMix + Baseline NN,3.319742054,2.936894727,0.2277,0.292
1,1,1.0,AugMix + MiniAlexNet,3.293630773,2.763703012,0.20955,0.3085
2,2,2.0,AugMix + VGG15,0.385904701,1.733421934,0.885425,0.6427
3,3,3.0,AugMix + ResNet50,1.188876039,1.396606636,0.66685,0.6601
4,4,4.0,AugMix + EfficientNetB0,0.79719,2.6799,0.768,0.478
5,5,5.0,AugMix + ResNeXt,2.471644175,2.864708877,0.37285,0.4172
6,6,6.0,AugMix + CvT,3.55423916,3.26202848,0.158325,0.1999
7,7,7.0,AugMix + ResNeXt,0.088401003,2.030693653,0.9741,0.6841
8,8,8.0,AugMix + WideResNet,0.088401003,2.030693653,0.9741,0.6841
9,ResNet-S Feature Extractor,,"DataParallel(
  (module): ResNetS(
    (l0): Sequential(
      (0): Conv2d(3, 16, kernel_size=(5, 5), stride=(2, 2), padding=(3, 3))
      (1): MaxPool2d(kernel_size=3, stride=2, padding=1, dilation=1, ceil_mode=False)
      (2): BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (3): ReLU()
    )
    (l1): Sequential(
      (0): ResBlock(
        (skip): Sequential()
        (conv1): Sequential(
          (0): Conv2d(16, 16, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
          (1): BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
          (2): ReLU()
        )
        (conv2): Sequential(
          (0): Conv2d(16, 16, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
          (1): BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
          (2): ReLU()
        )
      )
      (1): ResBlock(
        (skip): Sequential()
        (conv1): Sequential(
          (0): Conv2d(16, 16, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
          (1): BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
          (2): ReLU()
        )
        (conv2): Sequential(
          (0): Conv2d(16, 16, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
          (1): BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
          (2): ReLU()
        )
      )
    )
    (l2): Sequential(
      (0): ResBlock(
        (skip): Conv2d(16, 32, kernel_size=(1, 1), stride=(2, 2))
        (conv1): Sequential(
          (0): Conv2d(16, 32, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
          (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
          (2): ReLU()
        )
        (conv2): Sequential(
          (0): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
          (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
          (2): ReLU()
        )
      )
      (1): ResBlock(
        (skip): Sequential()
        (conv1): Sequential(
          (0): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
          (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
          (2): ReLU()
        )
        (conv2): Sequential(
          (0): Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
          (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
          (2): ReLU()
        )
      )
    )
    (l3): Sequential(
      (0): ResBlock(
        (skip): Conv2d(32, 48, kernel_size=(1, 1), stride=(2, 2))
        (conv1): Sequential(
          (0): Conv2d(32, 48, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
          (1): BatchNorm2d(48, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
          (2): ReLU()
        )
        (conv2): Sequential(
          (0): Conv2d(48, 48, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
          (1): BatchNorm2d(48, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
          (2): ReLU()
        )
      )
      (1): ResBlock(
        (skip): Sequential()
        (conv1): Sequential(
          (0): Conv2d(48, 48, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
          (1): BatchNorm2d(48, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
          (2): ReLU()
        )
        (conv2): Sequential(
          (0): Conv2d(48, 48, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
          (1): BatchNorm2d(48, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
          (2): ReLU()
        )
      )
    )
    (gap): AdaptiveAvgPool2d(output_size=1)
    (fc): Sequential(
      (0): Flatten(start_dim=1, end_dim=-1)
      (1): Linear(in_features=48, out_features=100, bias=True)
    )
  )
)",1.8281746328256687,2.9674506187438965,0.498875,0.3006
